kucode,winner party,votes for LDP,votes for Chudo,votes for Genzei and Yukoku,votes for Sansei,votes for Kokumin Minshu,votes for KPJ,votes for Ishin,votes for Non-Party,votes for SDP,votes for Nihon Hoshu,votes for Reiwa,votes sum,LDP percentage
2301,Genzei and Yukoku,72144,40038,94339,15283,0,0,0,0,0,0,0,221804,"0,33"
2302,Kokumin Minshu,74845,0,24158,0,110540,15550,0,0,0,0,0,225093,"0,33"
2303,LDP,98388,70464,37335,,,11262,23661,0,0,0,0,241110,"0,41"
2304,LDP,79204,50572,17400,17699,0,0,14831,0,0,0,0,179706,"0,44"
2305,LDP,73643,44288,25815,18970,0,7487,0,6487,0,0,0,176690,"0,42"
2306,LDP,109044,39828,13179,28651,0,0,0,0,10996,0,0,201698,"0,54"
2307,Kokumin Minshu,94973,0,0,0,108332,14373,0,0,0,0,0,217678,"0,44"
2308,LDP,131050,84571,0,0,0,0,0,0,0,32396,0,248017,"0,53"
2309,LDP,93351,58084,0,22098,0,8930,24489,0,0,0,0,206952,"0,45"
2310,LDP,80646,43496,0,17891,21072,0,28434,0,0,0,0,191539,"0,42"
2311,Kokumin Minshu,98411,0,0,0,145739,0,0,0,0,0,0,244150,"0,40"
2312,LDP,128453,107130,0,37684,0,0,0,0,0,0,0,273267,"0,47"
2313,LDP,151944,94399,0,0,0,12910,0,0,0,0,0,259253,"0,59"
2314,LDP,119376,49753,0,0,0,7904,0,0,0,0,0,177033,"0,67"
2315,LDP,88028,36614,12892,19022,0,0,35736,0,0,0,9835,202127,"0,44"
2316,LDP,91375,43393,10984,17419,60084,0,0,0,0,0,0,223255,"0,41"
